# Soil Total Carbon and Nitrogen by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/164
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		date the sample was taken
# treatment		treatment the sample was collected from
# replicate		replicate that the sample was collected from
# station		station within the plot that was sampled
# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.
# depth		slice of the deepcore
# n_percent	gramsPerHectograms	average percent N in the sample
# c_percent	gramsPerHectograms	average percent of C in the sample
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.
#
sample_date,treatment,replicate,station,core,depth,n_percent,c_percent
#,,,,,,gramsPerHectograms,gramsPerHectograms
2010-10-29,T8nt,1,1,C2,Deep,0.0125,0.0820
2010-10-29,T8nt,1,1,C1,Deep,0.0143,0.0656
2010-10-29,T8nt,1,1,C2,Middle,0.0249,0.2123
2010-10-29,T8nt,1,1,C1,Middle,0.0607,0.3472
2010-10-29,T8nt,1,1,C2,Surface,0.1540,1.7098
2010-10-29,T8nt,1,1,C1,Surface,0.1373,1.6169
2010-10-29,T8nt,1,2,C2,Deep,0.0096,0.0431
2010-10-29,T8nt,1,2,C1,Deep,0.0067,0.0847
2010-10-29,T8nt,1,2,C1,Middle,0.0178,0.2163
2010-10-29,T8nt,1,2,C2,Middle,0.0160,0.2553
2010-10-29,T8nt,1,2,C1,Surface,0.0757,0.9763
2010-10-29,T8nt,1,2,C2,Surface,0.0874,0.9460
2010-10-29,T8nt,1,3,C1,Deep,0.0109,0.0534
2010-10-29,T8nt,1,3,C2,Deep,0.0040,0.0397
2010-10-29,T8nt,1,3,C2,Middle,0.0087,0.1580
2010-10-29,T8nt,1,3,C1,Middle,0.0313,0.1960
2010-10-29,T8nt,1,3,C1,Surface,0.0990,1.1302
2010-10-29,T8nt,1,3,C2,Surface,0.0580,0.5413
2010-10-29,T8nt,1,4,C2,Deep,0.0137,0.0853
2010-10-29,T8nt,1,4,C1,Deep,0.0020,0.0637
2010-10-29,T8nt,1,4,C1,Middle,0.0288,0.3138
2010-10-29,T8nt,1,4,C2,Middle,0.0380,0.2530
2010-10-29,T8nt,1,4,C2,Surface,0.0943,1.2173
2010-10-29,T8nt,1,4,C1,Surface,0.1120,1.2088
2010-10-29,T8nt,1,5,C2,Deep,0.0249,0.0295
2010-10-29,T8nt,1,5,C1,Deep,0.0204,0.0944
2010-10-29,T8nt,1,5,C2,Middle,0.0440,0.2827
2010-10-29,T8nt,1,5,C1,Middle,0.0233,0.0720
2010-10-29,T8nt,1,5,C1,Surface,0.1107,1.2037
2010-10-29,T8nt,1,5,C2,Surface,0.0875,0.8329
2010-10-29,T8nt,2,1,C1,Deep,0.0143,0.0480
2010-10-29,T8nt,2,1,C2,Deep,0.0117,0.0290
2010-10-29,T8nt,2,1,C2,Middle,0.0230,0.1223
2010-10-29,T8nt,2,1,C1,Middle,0.0363,0.2075
2010-10-29,T8nt,2,1,C1,Surface,0.1023,0.9753
2010-10-29,T8nt,2,1,C2,Surface,0.1683,1.8153
2010-10-29,T8nt,2,2,C2,Deep,0.0086,0.0531
2010-10-29,T8nt,2,2,C1,Deep,0.0040,0.0647
2010-10-29,T8nt,2,2,C2,Middle,0.0555,0.4835
2010-10-29,T8nt,2,2,C1,Middle,0.0187,0.0602
2010-10-29,T8nt,2,2,C1,Surface,0.0965,0.9918
2010-10-29,T8nt,2,2,C2,Surface,0.1557,1.7158
2010-10-29,T8nt,2,3,C1,Deep,0.0097,0.0733
2010-10-29,T8nt,2,3,C2,Deep,0.0176,0.0607
2010-10-29,T8nt,2,3,C2,Middle,0.0563,0.3418
2010-10-29,T8nt,2,3,C1,Middle,0.0432,0.3701
2010-10-29,T8nt,2,3,C2,Surface,0.1360,1.6053
2010-10-29,T8nt,2,3,C1,Surface,0.0347,0.5023
2010-10-29,T8nt,2,4,C2,Deep,0.0240,0.1243
2010-10-29,T8nt,2,4,C1,Deep,0.0126,0.0902
2010-10-29,T8nt,2,4,C1,Middle,0.0588,0.1784
2010-10-29,T8nt,2,4,C2,Middle,0.0291,0.2659
2010-10-29,T8nt,2,4,C2,Surface,0.0757,0.8123
2010-10-29,T8nt,2,4,C1,Surface,0.0960,1.0950
2010-10-29,T8nt,2,5,C1,Deep,0.0140,0.0875
2010-10-29,T8nt,2,5,C2,Deep,0.0143,0.0142
2010-10-29,T8nt,2,5,C2,Middle,0.0566,0.3783
2010-10-29,T8nt,2,5,C1,Middle,0.0366,0.2544
2010-10-29,T8nt,2,5,C1,Surface,0.1151,1.2471
2010-10-29,T8nt,2,5,C2,Surface,0.0837,1.0727
2010-10-29,T8nt,3,1,C1,Deep,0.0104,0.0887
2010-10-29,T8nt,3,1,C2,Deep,0.0274,0.0987
2010-10-29,T8nt,3,1,C2,Middle,0.0334,0.2790
2010-10-29,T8nt,3,1,C1,Middle,0.0100,0.1663
2010-10-29,T8nt,3,1,C2,Surface,0.0977,1.0297
2010-10-29,T8nt,3,1,C1,Surface,0.1425,1.6550
2010-10-29,T8nt,3,2,C2,Deep,0.0262,0.2089
2010-10-29,T8nt,3,2,C1,Deep,0.0076,0.0495
2010-10-29,T8nt,3,2,C2,Middle,0.0015,0.1652
2010-10-29,T8nt,3,2,C1,Middle,0.0255,0.1505
2010-10-29,T8nt,3,2,C1,Surface,0.0787,0.9093
2010-10-29,T8nt,3,2,C2,Surface,0.0979,1.0398
2010-10-29,T8nt,3,3,C1,Deep,0.0043,0.1100
2010-10-29,T8nt,3,3,C2,Deep,0.0020,0.0083
2010-10-29,T8nt,3,3,C2,Middle,0.0658,0.2818
2010-10-29,T8nt,3,3,C1,Middle,0.0345,0.2918
2010-10-29,T8nt,3,3,C2,Surface,0.1387,1.6552
2010-10-29,T8nt,3,3,C1,Surface,0.0630,0.4900
2010-10-29,T8nt,3,4,C2,Deep,0.0224,0.0623
2010-10-29,T8nt,3,4,C1,Deep,0.0097,0.0703
2010-10-29,T8nt,3,4,C1,Middle,0.0303,0.3877
2010-10-29,T8nt,3,4,C2,Middle,0.0174,0.0848
2010-10-29,T8nt,3,4,C1,Surface,0.1244,1.4239
2010-10-29,T8nt,3,4,C2,Surface,0.0767,0.8883
2010-10-29,T8nt,3,5,C1,Deep,0.0017,0.2580
2010-10-29,T8nt,3,5,C2,Deep,0.0145,0.1079
2010-10-29,T8nt,3,5,C1,Middle,0.0327,0.2237
2010-10-29,T8nt,3,5,C2,Middle,0.0193,0.3247
2010-10-29,T8nt,3,5,C1,Surface,0.1100,0.9617
2010-10-29,T8nt,3,5,C2,Surface,0.0604,0.8890
2010-10-29,T8nt,4,1,C2,Deep,0.0090,0.0533
2010-10-29,T8nt,4,1,C1,Deep,0.0048,0.0987
2010-10-29,T8nt,4,1,C1,Middle,0.0338,0.1683
2010-10-29,T8nt,4,1,C2,Middle,0.0273,0.0553
2010-10-29,T8nt,4,1,C1,Surface,0.0959,0.9477
2010-10-29,T8nt,4,1,C2,Surface,0.0857,1.0044
2010-10-29,T8nt,4,2,C2,Deep,0.0363,0.2117
2010-10-29,T8nt,4,2,C1,Deep,0.0180,0.0565
2010-10-29,T8nt,4,2,C2,Middle,0.0140,0.0100
2010-10-29,T8nt,4,2,C1,Middle,0.0406,0.3831
2010-10-29,T8nt,4,2,C2,Surface,0.0830,0.9820
2010-10-29,T8nt,4,2,C1,Surface,0.0887,0.9487
2010-10-29,T8nt,4,3,C2,Deep,0.0200,0.0811
2010-10-29,T8nt,4,3,C1,Deep,0.0051,0.0569
2010-10-29,T8nt,4,3,C2,Middle,0.0441,0.3373
2010-10-29,T8nt,4,3,C1,Middle,0.0303,0.1590
2010-10-29,T8nt,4,3,C1,Surface,0.0841,0.8882
2010-10-29,T8nt,4,3,C2,Surface,0.1037,1.1950
2010-10-29,T8nt,4,4,C2,Deep,0.0312,0.0879
2010-10-29,T8nt,4,4,C1,Deep,0.0060,0.0753
2010-10-29,T8nt,4,4,C2,Middle,0.0137,0.1950
2010-10-29,T8nt,4,4,C1,Middle,0.0068,0.0944
2010-10-29,T8nt,4,4,C1,Surface,0.0987,1.1183
2010-10-29,T8nt,4,4,C2,Surface,0.0930,0.8180
2010-10-29,T8nt,4,5,C2,Deep,0.0483,0.0891
2010-10-29,T8nt,4,5,C1,Deep,0.0085,0.0441
2010-10-29,T8nt,4,5,C2,Middle,0.0425,0.2033
2010-10-29,T8nt,4,5,C1,Middle,0.0340,0.1434
2010-10-29,T8nt,4,5,C2,Surface,0.1046,1.0458
2010-10-29,T8nt,4,5,C1,Surface,0.1043,1.0303
2010-10-27,TDF,1,1,C2,Deep,0.0060,0.0593
2010-10-27,TDF,1,1,C1,Deep,0.0395,0.0345
2010-10-27,TDF,1,1,C1,Middle,0.0214,0.0234
2010-10-27,TDF,1,1,C2,Surface,0.0915,0.9675
2010-10-27,TDF,1,1,C1,Surface,0.0599,0.9795
2010-10-27,TDF,1,2,C2,Deep,0.0113,0.0517
2010-10-27,TDF,1,2,C1,Middle,0.0240,0.1120
2010-10-27,TDF,1,2,C2,Middle,0.0147,0.0513
2010-10-27,TDF,1,2,C1,Surface,0.0717,1.0077
2010-10-27,TDF,1,2,C2,Surface,0.0900,1.7743
2010-10-27,TDF,1,3,C2,Deep,0.0094,0.0044
2010-10-27,TDF,1,3,C2,Middle,0.0178,0.0074
2010-10-27,TDF,1,3,C1,Middle,0.0070,0.0830
2010-10-27,TDF,1,3,C1,Surface,0.0718,0.8827
2010-10-27,TDF,1,3,C2,Surface,0.0457,0.3946
2010-10-27,TDF,1,4,C2,Deep,0.0069,0.0690
2010-10-27,TDF,1,4,C1,Deep,0.0127,0.0615
2010-10-27,TDF,1,4,C1,Middle,0.0160,0.1810
2010-10-27,TDF,1,4,C2,Middle,0.0445,0.3536
2010-10-27,TDF,1,4,C2,Surface,0.0718,0.9418
2010-10-27,TDF,1,4,C1,Surface,0.0800,0.8653
2010-10-27,TDF,1,5,C2,Deep,0.0217,0.0753
2010-10-27,TDF,1,5,C2,Middle,0.0384,0.2454
2010-10-27,TDF,1,5,C1,Middle,0.0212,0.0785
2010-10-27,TDF,1,5,C1,Surface,0.0673,0.7727
2010-10-27,TDF,1,5,C2,Surface,0.0736,0.8549
2010-10-27,TSF,1,1,C2,Deep,0.0072,0.8254
2010-10-27,TSF,1,1,C1,Deep,0.0102,0.0263
2010-10-27,TSF,1,1,C1,Middle,0.0263,0.1540
2010-10-27,TSF,1,1,C2,Middle,0.0123,0.0370
2010-10-27,TSF,1,1,C2,Surface,0.1180,1.3567
2010-10-27,TSF,1,1,C1,Surface,0.0675,0.8481
2010-10-27,TSF,1,2,C2,Deep,0.0194,0.0791
2010-10-27,TSF,1,2,C2,Middle,0.0161,0.1939
2010-10-27,TSF,1,2,C1,Middle,0.0329,0.1312
2010-10-27,TSF,1,2,C1,Surface,0.0510,0.3530
2010-10-27,TSF,1,2,C2,Surface,0.1143,1.2920
2010-10-27,TSF,1,3,C2,Deep,0.0185,0.0433
2010-10-27,TSF,1,3,C1,Deep,0.0273,0.0044
2010-10-27,TSF,1,3,C2,Middle,0.0230,0.0065
2010-10-27,TSF,1,3,C1,Middle,0.0240,0.1975
2010-10-27,TSF,1,3,C1,Surface,0.0692,0.7497
2010-10-27,TSF,1,3,C2,Surface,0.0240,0.1563
2010-10-27,TSF,1,4,C1,Deep,0.0229,0.0850
2010-10-27,TSF,1,4,C2,Middle,0.0148,0.0366
2010-10-27,TSF,1,4,C1,Middle,0.0339,0.1063
