# Soil Bulk Density by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/308
# The newest version of the data https://lter.kbs.msu.edu/datatables/308.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		sample year
# treatment		treatment that was sampled
# replicate		replicate plot that was sampled
# station		station within the plot that was sampled
# core		core identifier for the station (generally two cores were taken per station)
# section		horizon section (cores were divided into surface, middle and deep sections)
# horizon_length	centimeter	length of the horizon sampled
# total_bulk_density	gramsPerCubicCentimeter	bulk density (including any gravel)
# comments		any observations relating to this core
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,comments
#,,,,,,centimeter,gramsPerCubicCentimeter,
2013,TSF,3,5,2,50-end cm,67,0.6535229015, 
2013,TSF,3,5,2,25-50cm,25,1.6822802804, 
2013,TSF,3,5,2,10-25cm,15,1.373234414, 
2013,TSF,3,5,2,0-10cm,10,1.0690761657, 
2013,TSF,3,5,1,50-end cm,68,0.8544055061, 
2013,TSF,3,5,1,25-50cm,25,1.6207676914, 
2013,TSF,3,5,1,10-25cm,15,1.3321412329, 
2013,TSF,3,5,1,0-10cm,10,1.374928722, 
2013,TSF,3,4,2,50-end cm,65,0.7038481627, 
2013,TSF,3,4,2,25-50cm,25,1.5919454517, 
2013,TSF,3,4,2,10-25cm,15,1.398203163, 
2013,TSF,3,4,2,0-10cm,10,1.3506543615, 
2013,TSF,3,4,1,50-end cm,68,0.7779733243, 
2013,TSF,3,4,1,25-50cm,25,1.5944277078, 
2013,TSF,3,4,1,10-25cm,15,1.3310594487,large root 
2013,TSF,3,4,1,0-10cm,10,1.2414526315, 
2013,TSF,3,3,2,50-end cm,72,0.9339050363, 
2013,TSF,3,3,2,25-50cm,25,1.646441062, 
2013,TSF,3,3,2,10-25cm,15,1.5540970384, 
2013,TSF,3,3,2,0-10cm,10,1.0772553314, 
2013,TSF,3,3,1,50-end cm,64,1.1218408299, 
2013,TSF,3,3,1,25-50cm,25,1.5934365596, 
2013,TSF,3,3,1,10-25cm,15,1.4600110498, 
2013,TSF,3,3,1,0-10cm,10,1.3074999429, 
2013,TSF,3,2,2,50-end cm,63,0.9443628057, 
2013,TSF,3,2,2,25-50cm,25,1.4812438424, 
2013,TSF,3,2,2,10-25cm,15,1.4096057533, 
2013,TSF,3,2,2,0-10cm,10,1.1936494646, 
2013,TSF,3,2,1,50-end cm,61,0.9433522549, 
2013,TSF,3,2,1,25-50cm,25,1.5588656601, 
2013,TSF,3,2,1,10-25cm,15,1.4724954243, 
2013,TSF,3,2,1,0-10cm,10,1.1311983547, 
2013,TSF,3,1,2,50-end cm,62,1.2023734364, 
2013,TSF,3,1,2,25-50cm,25,1.5772624239, 
2013,TSF,3,1,2,10-25cm,15,1.5400046063, 
2013,TSF,3,1,2,0-10cm,10,1.2292825592, 
2013,TSF,3,1,1,50-end cm,70,1.0354065721, 
2013,TSF,3,1,1,25-50cm,25,1.645458685, 
2013,TSF,3,1,1,10-25cm,15,1.4680805753, 
2013,TSF,3,1,1,0-10cm,10,1.7436490213, 
2013,TSF,2,5,2,50-end cm,67,0.7780480895, 
2013,TSF,2,5,2,25-50cm,25,1.6535018967, 
2013,TSF,2,5,2,10-25cm,15,1.3242325132, 
2013,TSF,2,5,2,0-10cm,10,1.2504650634, 
2013,TSF,2,5,1,50-end cm,67,1.0003331432, 
2013,TSF,2,5,1,25-50cm,25,1.5430634242, 
2013,TSF,2,5,1,10-25cm,15,1.3641854353, 
2013,TSF,2,5,1,0-10cm,10,1.0518187839, 
2013,TSF,2,4,2,50-end cm,66,0.8972576029, 
2013,TSF,2,4,2,25-50cm,25,1.6638870251, 
2013,TSF,2,4,2,10-25cm,15,1.3792280833, 
2013,TSF,2,4,2,0-10cm,10,1.3737007507, 
2013,TSF,2,4,1,50-end cm,63,1.0035546404, 
2013,TSF,2,4,1,25-50cm,25,1.6218640943, 
2013,TSF,2,4,1,10-25cm,15,1.2067565959, 
2013,TSF,2,4,1,0-10cm,10,1.1793085145, 
2013,TSF,2,3,2,50-end cm,68,0.8092111331, 
2013,TSF,2,3,2,25-50cm,25,1.562500455, 
2013,TSF,2,3,2,10-25cm,15,1.2418999639, 
2013,TSF,2,3,2,0-10cm,10,0.9794342636, 
2013,TSF,2,3,1,50-end cm,64,0.9701534871, 
2013,TSF,2,3,1,25-50cm,25,1.5857266543, 
2013,TSF,2,3,1,10-25cm,15,1.1496413135, 
2013,TSF,2,3,1,0-10cm,10,1.0296933731, 
2013,TSF,2,2,2,50-end cm,64,0.6840060321, 
2013,TSF,2,2,2,25-50cm,25,1.6789033594, 
2013,TSF,2,2,2,10-25cm,15,1.3131076784, 
2013,TSF,2,2,2,0-10cm,10,1.1035690013, 
2013,TSF,2,2,1,50-end cm,63,0.8495326555, 
2013,TSF,2,2,1,25-50cm,25,1.6099615443,Spilled small amount of soil 
2013,TSF,2,2,1,10-25cm,15,1.5153867062, 
2013,TSF,2,2,1,0-10cm,10,0.9447440755, 
2013,TSF,2,1,2,50-end cm,69,0.8529201092, 
2013,TSF,2,1,2,25-50cm,25,1.6067249629, 
2013,TSF,2,1,2,10-25cm,15,1.4696886329, 
2013,TSF,2,1,2,0-10cm,10,1.3367519726, 
2013,TSF,2,1,1,50-end cm,67,0.7947035953, 
2013,TSF,2,1,1,25-50cm,25,1.5752011864, 
2013,TSF,2,1,1,10-25cm,15,1.3632059821, 
2013,TSF,2,1,1,0-10cm,10,1.1736730035, 
2013,TSF,1,5,2,50-end cm,55,1.2352330368, 
2013,TSF,1,5,2,25-50cm,25,1.6560894076, 
2013,TSF,1,5,2,10-25cm,15,1.5190852387, 
2013,TSF,1,5,2,0-10cm,10,1.222813782,roots 
2013,TSF,1,5,1,50-end cm,61,0.8399035846, 
2013,TSF,1,5,1,25-50cm,25,1.5324239304, 
2013,TSF,1,5,1,10-25cm,15,1.2815020371, 
2013,TSF,1,5,1,0-10cm,10,1.157292744,roots 
2013,TSF,1,4,2,50-end cm,63,0.7345217303, 
2013,TSF,1,4,2,25-50cm,25,1.5612549413, 
2013,TSF,1,4,2,10-25cm,15,1.3169377792, 
2013,TSF,1,4,2,0-10cm,10,0.9943891994, 
2013,TSF,1,4,1,50-end cm,62,0.7851921285, 
2013,TSF,1,4,1,25-50cm,25,1.6181626381,Spilled small amount of soil 
2013,TSF,1,4,1,10-25cm,15,1.4764424748, 
2013,TSF,1,4,1,0-10cm,10,1.1272951603,Lots of roots 
2013,TSF,1,3,2,50-end cm,66,0.8675583737, 
2013,TSF,1,3,2,25-50cm,25,1.6157768653, 
2013,TSF,1,3,2,10-25cm,15,1.420394358, 
2013,TSF,1,3,2,0-10cm,10,1.0404381216, 
2013,TSF,1,3,1,50-end cm,65,1.0476598746, 
2013,TSF,1,3,1,25-50cm,25,1.6304423507, 
2013,TSF,1,3,1,10-25cm,15,1.3766990472, 
2013,TSF,1,3,1,0-10cm,10,1.0407451145, 
2013,TSF,1,2,2,50-end cm,62,0.8437117497, 
2013,TSF,1,2,2,25-50cm,25,1.4819981676, 
2013,TSF,1,2,2,10-25cm,15,1.3969167169, 
2013,TSF,1,2,2,0-10cm,10,1.1096869296, 
2013,TSF,1,2,1,50-end cm,64,0.9896694589, 
2013,TSF,1,2,1,25-50cm,25,1.5166444997, 
2013,TSF,1,2,1,10-25cm,15,1.3144818367, 
2013,TSF,1,2,1,0-10cm,10,0.9300522765, 
2013,TSF,1,1,2,50-end cm,72,0.912549544, 
2013,TSF,1,1,2,25-50cm,25,1.5110309168, 
