year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,
2001,TSF,3,5,2,Surface,14,1.463281975,
2001,TSF,3,5,2,Middle,67,1.544679078,
2001,TSF,3,5,2,Deep,19,1.484402472,
2001,TSF,3,5,1,Surface,16,1.561701331,
2001,TSF,3,5,1,Middle,53,1.632367515,
2001,TSF,3,5,1,Deep,31,1.362079027,
2001,TSF,3,4,2,Surface,21,1.334091167,
2001,TSF,3,4,2,Middle,41,1.668072434,fungi
2001,TSF,3,4,2,Deep,31,1.59250828,
2001,TSF,3,4,1,Surface,18,1.318760046,
2001,TSF,3,4,1,Middle,54,1.561297264,
2001,TSF,3,4,1,Deep,28,1.488681015,
2001,TSF,3,3,2,Surface,20,1.24944718,
2001,TSF,3,3,2,Middle,27,1.485322384,
2001,TSF,3,3,2,Deep,48,1.549757546,
2001,TSF,3,3,1,Surface,18,1.175361267,comp
2001,TSF,3,3,1,Middle,17,1.438024351,
2001,TSF,3,3,1,Deep,59,1.531223357,
2001,TSF,3,2,2,Surface,19,1.262404967,not comp
2001,TSF,3,2,2,Middle,34,1.414312953,
2001,TSF,3,2,2,Deep,47,1.431179491,
2001,TSF,3,2,1,Surface,49,1.341785742,comp
2001,TSF,3,2,1,Middle,33,1.648078374,
2001,TSF,3,2,1,Deep,13,1.296782725,
2001,TSF,3,1,2,Surface,17,1.304679922,comp
2001,TSF,3,1,2,Middle,21,1.506295458,
2001,TSF,3,1,2,Deep,45,1.697535992,
2001,TSF,3,1,1,Surface,19,1.317488872,comp
2001,TSF,3,1,1,Middle,13,1.567451355,
2001,TSF,3,1,1,Deep,53,1.553763815,
2001,TSF,2,5,2,Surface,19,1.30556863,
2001,TSF,2,5,2,Middle,35,1.611729647,
2001,TSF,2,5,2,Deep,38,1.540342248,comp
2001,TSF,2,5,1,Surface,19,1.286834664,
2001,TSF,2,5,1,Middle,25,1.497215297,
2001,TSF,2,5,1,Deep,51,1.582861021,comp
2001,TSF,2,4,2,Surface,21,1.188159033,
2001,TSF,2,4,2,Middle,50,1.41467214,
2001,TSF,2,4,2,Deep,23,1.496274762,comp
2001,TSF,2,4,1,Surface,19,1.226221216,
2001,TSF,2,4,1,Middle,9,1.488161016,
2001,TSF,2,4,1,Deep,65,1.469234281,comp
2001,TSF,2,3,2,Surface,20,1.193644132,
2001,TSF,2,3,2,Middle,28,1.465193951,
